,product_name,year,varietal,origin,price,rating,rating_count
38,K Vintners The Hidden Syrah,2018,Syrah/Shiraz,Washington,70,3.8,9
39,Il Molino di Grace Il Volano,2019,Tuscan Blends,Italy,15,3.5,47
40,Paul Dolan Vineyards Organically Grown Zinfandel,2019,Zinfandel,California,25,3.8,248
41,Intrinsic Red Blend,2018,Bordeaux Red Blends,Washington,22,3.8,155
42,Bibi Graetz Testamatta 20th Anniversary Label,2019,Sangiovese,Italy,99,4.7,31
43,Lail J. Daniel Cuvee Cabernet Sauvignon,2018,Cabernet Sauvignon,California,269,4.2,6
44,Chateau Petrus,2010,Bordeaux Red Blends,France,"5,999",4.1,14
45,Opus One,2019,Bordeaux Red Blends,California,389,5.0,9
46,Caymus Napa Valley Cabernet Sauvignon,2020,Cabernet Sauvignon,California,84,4.6,138
47,Veuve Clicquot Yellow Label,Brut,Non-Vintage Sparkling Wine,France,69,4.5,1711
48,Tenuta San Guido Sassicaia,2019,Bordeaux Red Blends,Italy,269,4.8,29
49,Laurent-Perrier Cuvee Rose (Limited Edition Butterfly,Cage),Sparkling Rosé,France,99,0.0,0
50,Silver Oak Napa Valley Cabernet Sauvignon,2017,Cabernet Sauvignon,California,139,4.5,54
51,Antinori Tignanello,2019,Tuscan Blends,Italy,149,4.7,20
52,Duckhorn Napa Valley Cabernet Sauvignon,2019,Cabernet Sauvignon,California,80,4.3,58
53,Silver Oak Alexander Valley Cabernet Sauvignon,2018,Cabernet Sauvignon,California,89,4.7,15
54,Joseph Phelps Freestone Vineyards Pinot Noir,2019,Pinot Noir,California,70,4.3,176
55,Dom Perignon Vintage,2012,Vintage Sparkling Wine,France,259,4.5,23
56,Rombauer Chardonnay,2021,Chardonnay,California,39,4.7,57
57,Opus One,Overture,Bordeaux Red Blends,California,149,4.5,194
58,Joseph Phelps Insignia,2018,Bordeaux Red Blends,California,325,4.6,82
59,DeLille D2 Estate Red,2019,Bordeaux Red Blends,Washington,50,4.7,6
60,Laurent-Perrier Cuvee,Rose,Sparkling Rosé,France,100,4.6,560
61,Lemelson Thea's Selection Pinot Noir,2019,Pinot Noir,Oregon,34,4.1,90
62,Shafer One Point Five Cabernet Sauvignon,2019,Cabernet Sauvignon,California,109,4.6,22
63,Beaulieu Vineyard Georges de Latour Private Reserve,2018,Cabernet Sauvignon,California,145,4.3,48
64,Billecart-Salmon Brut,Rose,Sparkling Rosé,France,94,4.7,608
65,Chateau de Beaucastel Chateauneuf-du-Pape (1.5 Liter Magnum),2019,Rhone Red Blends,France,260,0.0,0
66,Piper-Heidsieck Cuvee,Brut,Non-Vintage Sparkling Wine,France,60,4.3,331
67,Chateau Leoville Poyferre,2018,Bordeaux Red Blends,France,149,4.4,76
68,Faust Cabernet Sauvignon,2019,Cabernet Sauvignon,California,65,4.5,54
69,Caymus Napa Valley Cabernet Sauvignon (1.5 Liter Magnum),2020,Cabernet Sauvignon,California,199,0.0,0
70,Quintessa,2019,Cabernet Sauvignon,California,229,4.9,8
71,Caymus Napa Valley Cabernet Sauvignon (1 Liter Bottle),2020,Cabernet Sauvignon,California,99,4.7,6
72,Vina Robles Estate Cabernet Sauvignon,2019,Cabernet Sauvignon,California,28,4.0,289
73,Continuum,2019,Bordeaux Red Blends,California,294,4.7,18
74,Beaulieu Vineyard Georges de Latour Private Reserve,2019,Cabernet Sauvignon,California,149,0.0,0
75,Patrimony Cabernet Sauvignon,2019,Cabernet Sauvignon,California,279,0.0,0
76,Chateau Cos d'Estournel,2019,Bordeaux Red Blends,France,179,3.6,5
77,Hall Eighteen Seventy-Three Cabernet Sauvignon,2017,Cabernet Sauvignon,California,85,4.2,39
78,Billecart-Salmon Brut,Reserve,Non-Vintage Sparkling Wine,France,64,4.5,247
79,Schug Sonoma Coast Pinot Noir,2021,Pinot Noir,California,32,4.0,23
80,Louis Roederer Cristal Brut,2006,Vintage Sparkling Wine,France,399,4.4,19
81,Veuve Clicquot La Grande Dame Yayoi Kusama Limited Edition in Gift Box,2012,Vintage Sparkling Wine,France,219,4.7,42
82,Chateau Petrus,2015,Bordeaux Red Blends,France,"3,999",3.9,12
83,Chateau Gloria,2019,Bordeaux Red Blends,France,44,4.3,26
84,Far Niente Napa Valley Cabernet Sauvignon,2019,Cabernet Sauvignon,California,150,4.7,23
85,Chateau Phelan Segur,2019,Bordeaux Red Blends,France,49,4.3,14
86,Austin Hope Cabernet Sauvignon,2020,Cabernet Sauvignon,California,64,4.5,106
87,Tenuta Guado al Tasso,2018,Bordeaux Red Blends,Italy,149,4.6,8
88,Decoy Limited Napa Valley Cabernet Sauvignon,2019,Cabernet Sauvignon,California,29,4.1,99
89,La Rioja Alta Vina Ardanza Reserva,2015,Tempranillo,Spain,39,4.2,132
90,Bartolo Mascarello Barolo,2018,Nebbiolo,Italy,299,0.0,0
91,Beringer Knights Valley Reserve Cabernet Sauvignon,2018,Cabernet Sauvignon,California,70,4.2,59
92,Catena Zapata Argentino Vineyard Malbec,2019,Malbec,Argentina,119,4.5,31
93,Chateau Pavie,2015,Bordeaux Red Blends,France,399,4.9,14
94,Flowers Sonoma Coast Pinot Noir,2021,Pinot Noir,California,54,4.5,11
95,Duckhorn Sauvignon Blanc,2021,Sauvignon Blanc,California,27,4.2,45
96,Belle Glos Las Alturas Vineyard Pinot Noir,2020,Pinot Noir,California,55,4.4,24
97,PlumpJack Oakville Estate Cabernet Sauvignon,2018,Cabernet Sauvignon,California,159,4.2,15
98,Chateau Haut-Brion,2010,Bordeaux Red Blends,France,"1,029",4.8,8
99,Chateau Mouton Rothschild (1.5 Liter Magnum),2017,Bordeaux Red Blends,France,"1,199",0.0,0
100,Veuve Clicquot Yellow Label Brut (375ML,half-bottle),Non-Vintage Sparkling Wine,France,39,4.5,277
101,Merry Edwards Sonoma Coast Pinot Noir,2019,Pinot Noir,California,60,4.6,10
102,Ridge Lytton Springs,2020,Other Red Blends,California,49,0.0,0
103,Morgan Twelve Clones Pinot Noir,2019,Pinot Noir,California,35,4.2,61
104,Clay Shannon Cabernet Sauvignon,2019,Cabernet Sauvignon,California,40,3.7,32
105,Taittinger Brut La,Francaise,Non-Vintage Sparkling Wine,France,65,4.4,277
106,Opus One (375ML half-bottle),2019,Bordeaux Red Blends,California,199,0.0,0
107,Bollinger Brut Special,Cuvee,Non-Vintage Sparkling Wine,France,90,4.3,640
108,Chateau Lynch-Bages,2018,Bordeaux Red Blends,France,159,4.6,26
109,Chateau Saint-Andre Corbin,2020,Bordeaux Red Blends,France,39,4.7,33
110,Torbreck RunRig,2018,Syrah/Shiraz,Australia,185,0.0,0
111,Duckhorn Napa Valley Chardonnay,2021,Chardonnay,California,29,4.2,8
112,Kendall-Jackson Vintner's Reserve Chardonnay,2020,Chardonnay,California,17,4.1,168
113,Laurent-Perrier La Cuvee,Brut,Non-Vintage Sparkling Wine,France,75,4.4,369
114,Chateau Lafite Rothschild,2016,Bordeaux Red Blends,France,"1,259",4.6,46
115,Louis Latour Chateau Corton Grancey Grand Cru,2018,Pinot Noir,France,223,4.9,23
116,Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon,2019,Cabernet Sauvignon,California,325,0.0,0
117,El Enemigo Malbec,2018,Malbec,Argentina,24,4.1,47
118,Chateau Barde Haut,2019,Bordeaux Red Blends,France,39,4.3,14
119,Chateau Latour,2009,Bordeaux Red Blends,France,"1,499",4.8,10
120,Giesen Sauvignon Blanc,2021,Sauvignon Blanc,Zealand,15,3.8,132
121,Rancho Sisquoc Pinot Noir,2019,Pinot Noir,California,32,3.9,16
122,Robert Craig Cellars Affinity Cabernet Sauvignon,2018,Cabernet Sauvignon,California,70,0.0,0
123,Vavasour Sauvignon Blanc,2021,Sauvignon Blanc,Zealand,16,4.4,17
124,Chateau Picque-Caillou Blanc,2020,Bordeaux White Blends,France,60,4.7,26
125,Raeburn Chardonnay,2020,Chardonnay,California,20,4.0,125
126,Dashwood Sauvignon Blanc,2021,Sauvignon Blanc,Zealand,17,4.4,45
127,Champagne Andre Clouet Grande Reserve,Brut,Non-Vintage Sparkling Wine,France,50,4.3,7
128,Clos des Papes Chateauneuf-du-Pape,2020,Rhone Red Blends,France,149,0.0,0
129,Bodegas Vega Sicilia Unico Tinto,2010,Tempranillo,Spain,569,5.0,8
130,Bollinger La Grande Annee Brut with Wooden Gift Box,2014,Vintage Sparkling Wine,France,199,0.0,0
131,La Rasina Persante Brunello di Montalcino,2015,Sangiovese,Italy,85,4.2,32
132,Billaud-Simon Chablis Les Vaillons Premier Cru,2019,Chardonnay,France,69,0.0,0
133,Schug Sonoma Coast Chardonnay,2021,Chardonnay,California,30,3.8,20
134,Crossbarn Sonoma Coast Pinot Noir,2019,Pinot Noir,California,37,4.0,33
135,Pol Roger Brut,Reserve,Non-Vintage Sparkling Wine,France,64,4.4,258
136,Giacomo Conterno Monfortino Barolo Riserva,2015,Nebbiolo,Italy,"1,199",0.0,0
137,Chateau d'Issan,2019,Bordeaux Red Blends,France,59,4.0,9
138,Moet & Chandon Imperial,Brut,Non-Vintage Sparkling Wine,France,62,4.5,427
139,Domaine Drouhin Vaudon Chablis,2020,Chardonnay,France,30,4.1,76
140,Bella Union by Far Niente Cabernet Sauvignon,2018,Cabernet Sauvignon,California,80,4.2,21
141,Veuve Clicquot Brut,Rose,Sparkling Rosé,France,79,4.5,364
142,Decoy California Cabernet Sauvignon,2019,Cabernet Sauvignon,California,25,4.0,399
143,Shafer Hillside Select Cabernet Sauvignon,2018,Cabernet Sauvignon,California,369,0.0,0
144,Williams Selyem Estate Vineyard Pinot Noir,2019,Pinot Noir,California,199,0.0,0
145,Domaine Serene Evenstad Reserve Pinot Noir,2018,Pinot Noir,Oregon,83,4.1,34
146,Tolaini Valdisanti Toscana,2018,Other Red Blends,Italy,40,4.0,84
147,Quilceda Creek Cabernet Sauvignon,2017,Cabernet Sauvignon,Washington,199,4.9,17
148,Shafer Relentless,2018,Syrah/Shiraz,California,89,4.6,17
149,Grgich Hills Estate Chardonnay,2019,Chardonnay,California,45,4.5,29
150,Schramsberg Blanc de Noirs,2018,Vintage Sparkling Wine,California,43,4.1,22
151,Shaw + Smith Sauvignon Blanc,2021,Sauvignon Blanc,Australia,24,3.9,151
152,Roederer Estate Brut (375ML,half-bottle),Non-Vintage Sparkling Wine,California,15,4.0,107
153,Honig Cabernet Sauvignon,2019,Cabernet Sauvignon,California,60,4.7,13
154,Whitehaven Sauvignon Blanc,2021,Sauvignon Blanc,Zealand,17,4.3,151
155,Nickel & Nickel State Ranch Cabernet Sauvignon,2019,Cabernet Sauvignon,California,135,4.5,19
156,Chronic Cellars Sir Real Cabernet Sauvignon,2020,Cabernet Sauvignon,California,16,4.1,30
157,Chateau Pichon-Longueville Baron,2016,Bordeaux Red Blends,France,194,4.5,33
158,Chateau Mouton Rothschild,2010,Bordeaux Red Blends,France,999,4.6,43
159,Il Molino di Grace Chianti Classico Gran Selezione Il Margone,2013,Sangiovese,Italy,46,3.9,60
160,Veuve Clicquot Vintage Brut,2012,Vintage Sparkling Wine,France,99,4.6,56
161,Ornellaia,2019,Bordeaux Red Blends,Italy,270,4.4,7
162,Amici Napa Valley Cabernet Sauvignon,2019,Cabernet Sauvignon,California,49,4.2,31
163,Chateau Pichon Longueville Comtesse de Lalande,2009,Bordeaux Red Blends,France,244,4.5,12
164,Ruinart Brut Blanc de,Blancs,Non-Vintage Sparkling Wine,France,109,4.6,188
165,Chateau Reynon Blanc,2019,Sauvignon Blanc,France,20,0.0,0
166,Craggy Range Winery Te Muna Road Vineyard Sauvignon Blanc,2022,Sauvignon Blanc,Zealand,23,0.0,0
167,Conceito Douro Tinto,2019,Other Red Blends,Portugal,80,5.0,9
168,Ciacci Piccolomini d'Aragona Brunello di Montalcino,2017,Sangiovese,Italy,80,4.0,8
169,Chateau Lafite Rothschild,2009,Bordeaux Red Blends,France,"1,129",4.5,33
170,Chateau Mongravey,2018,Bordeaux Red Blends,France,31,4.3,84
171,McPrice Myers Beautiful Earth Red,2020,Other Red Blends,California,43,0.0,0
172,William Fevre Chablis Champs Royaux,2019,Chardonnay,France,35,4.1,73
173,Chateau Cantemerle,2019,Bordeaux Red Blends,France,34,3.9,36
174,Chateau Leoville Las Cases,2019,Bordeaux Red Blends,France,269,4.0,5
175,Peju Winery Legacy Collection Cabernet Sauvignon,2019,Cabernet Sauvignon,California,65,4.0,41
176,Bouchard Pere & Fils Reserve Bourgogne Pinot Noir,2019,Pinot Noir,France,28,3.9,184
177,Goldeneye Anderson Valley Pinot Noir,2019,Pinot Noir,California,60,4.0,33
178,Heitz Cellar Lot C-91 Cabernet Sauvignon,2016,Cabernet Sauvignon,California,99,4.3,19
179,La Rioja Alta Vina Alberdi Reserva Tinto,2018,Tempranillo,Spain,23,4.1,46
180,Patz & Hall Sonoma Coast Pinot Noir,2018,Pinot Noir,California,48,4.7,6
181,Novellum Chardonnay,2020,Chardonnay,France,15,4.1,184
182,G.D. Vajra Barolo Albe,2017,Nebbiolo,Italy,47,4.1,160
183,Stags' Leap Winery Napa Valley Cabernet Sauvignon,2019,Cabernet Sauvignon,California,58,4.5,16
184,Chateau Mouton Rothschild,2019,Bordeaux Red Blends,France,769,0.0,0
185,Chateau Lafite Rothschild,2003,Bordeaux Red Blends,France,"1,459",0.0,0
186,Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon,2018,Cabernet Sauvignon,California,299,4.5,12
187,Craggy Range Winery Te Muna Road Vineyard Pinot Noir,2019,Pinot Noir,Zealand,47,0.0,0
188,Roederer Estate,Brut,Non-Vintage Sparkling Wine,California,30,4.1,661
189,Sena,2019,Bordeaux Red Blends,Chile,150,4.2,13
190,Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon,2019,Cabernet Sauvignon,California,159,0.0,0
191,Numanthia Termes,2018,Tempranillo,Spain,25,3.9,63
192,Clos des Lunes Lune d'Argent,2018,Bordeaux White Blends,France,22,3.8,241
193,Cambria Katherine's Vineyard Chardonnay,2020,Chardonnay,California,22,3.7,52
194,Ruffino Riserva Ducale Oro Chianti Classico Gran Selezione,2017,Sangiovese,Italy,42,4.4,18
195,Domaine Drouhin Oregon Laurene Pinot Noir,2019,Pinot Noir,Oregon,73,0.0,0
196,Ornellaia Le Serre Nuove,2020,Bordeaux Red Blends,Italy,73,0.0,0
197,Larkmead Cabernet Sauvignon,2018,Cabernet Sauvignon,California,124,0.0,0
198,Brocard Chablis Montee de Tonnerre Premier Cru,2019,Chardonnay,France,52,0.0,0
199,DAOU Vineyards Soul of a Lion,2019,Bordeaux Red Blends,California,170,0.0,0
200,Martin Ray Sonoma Coast Pinot Noir,2021,Pinot Noir,California,32,3.7,8
201,Stags' Leap Winery Petite Sirah,2018,Petite Sirah,California,39,4.1,75
202,Chateau Rauzan-Segla,2010,Bordeaux Red Blends,France,154,4.5,49
203,Decoy Limited Sonoma Coast Pinot Noir,2019,Pinot Noir,California,30,4.0,43
204,Piper-Heidsieck Brut Vintage Rare,2008,Vintage Sparkling Wine,France,229,4.9,10
205,Catena Zapata Adrianna Vineyard River Malbec,2018,Malbec,Argentina,249,4.5,11
206,Dana Estates Vaso Cabernet Sauvignon,2018,Cabernet Sauvignon,California,99,0.0,0
207,Marietta Cellars Old Vine Red Lot,73,Other Red Blends,California,18,3.8,156
208,Chateau Marsau,2019,Merlot,France,24,3.8,12
209,Paraduxx Proprietary Red,2019,Other Red Blends,California,54,4.3,21
210,Chappellet Signature Cabernet Sauvignon,2019,Cabernet Sauvignon,California,90,4.6,10
211,K Vintners Motor City Kitty Syrah,2019,Syrah/Shiraz,Washington,39,3.9,28
212,Nickel & Nickel Sullenger Vineyard Cabernet Sauvignon,2019,Cabernet Sauvignon,California,135,0.0,0
213,Dog Point Vineyard Sauvignon Blanc,2021,Sauvignon Blanc,Zealand,21,3.6,17
214,The Prisoner Wine Company Cabernet Sauvignon,2019,Cabernet Sauvignon,California,61,4.5,41
215,Mayacamas Cabernet Sauvignon,2018,Cabernet Sauvignon,California,149,0.0,0
216,Catena Alta Malbec,2018,Malbec,Argentina,48,4.0,25
217,Chateau Laroque,2015,Bordeaux Red Blends,France,45,4.1,182
218,Olivier Bernstein Mazis-Chambertin Grand Cru,2011,Pinot Noir,France,519,0.0,0
219,Laurent-Perrier Brut Millesime,2012,Vintage Sparkling Wine,France,89,0.0,0
220,Decoy Pinot Noir,2020,Pinot Noir,California,25,4.2,44
221,Laurent-Perrier La Cuvee Brut (375ML,half-bottle),Non-Vintage Sparkling Wine,France,40,4.2,126
222,Ramey Cabernet Sauvignon,2016,Cabernet Sauvignon,California,65,4.5,18
223,Segura Viudas Cava,Brut,Non-Vintage Sparkling Wine,Spain,14,4.0,763
224,Domaine du Vieux Lazaret Chateauneuf-du-Pape,2019,Rhone Red Blends,France,48,4.5,18
225,Chateau Beausejour Duffau-Lagarrosse,2016,Bordeaux Red Blends,France,179,4.6,18
226,Laurent-Perrier Grand Siecle No. 25 with Gift,Box,Non-Vintage Sparkling Wine,France,250,0.0,0
227,El Enemigo Chardonnay,2019,Chardonnay,Argentina,29,4.0,166
228,Philipponnat Royale Reserve,Brut,Non-Vintage Sparkling Wine,France,80,4.6,59
229,L'Aventure Estate Cuvee,2019,Other Red Blends,California,119,3.9,15
230,Canvasback Red Mountain Cabernet Sauvignon,2018,Cabernet Sauvignon,Washington,42,4.3,32
231,Jacquart Brut,Mosaique,Non-Vintage Sparkling Wine,France,47,4.3,136
232,Mt. Brave Cabernet Sauvignon,2018,Cabernet Sauvignon,California,99,4.3,46
233,Oyster Bay Marlborough Sauvignon Blanc,2022,Sauvignon Blanc,Zealand,16,4.2,14
234,Tohu Sauvignon Blanc,2021,Sauvignon Blanc,Zealand,16,0.0,0
235,Charles Heidsieck Brut,Reserve,Non-Vintage Sparkling Wine,France,70,4.4,80
236,Trefethen Cabernet Sauvignon,2019,Cabernet Sauvignon,California,70,4.3,28
237,Louis Jadot Pouilly-Fuisse,2020,Chardonnay,France,31,4.0,39
238,Castello di Neive Barbaresco,2019,Nebbiolo,Italy,43,4.6,7
239,Paul Hobbs Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon,2017,Cabernet Sauvignon,California,319,0.0,0
240,Catena Malbec,2019,Malbec,Argentina,24,4.0,190
241,DAOU Vineyards Pessimist Red Blend,2020,Other Red Blends,California,30,4.1,116
242,Heitz Cellar Martha's Vineyard Cabernet Sauvignon,2015,Cabernet Sauvignon,California,249,4.4,12
243,Hall Napa Valley Cabernet Sauvignon,2019,Cabernet Sauvignon,California,70,0.0,0
244,Penfolds RWT Shiraz,2018,Syrah/Shiraz,Australia,169,0.0,0
245,Buena Vista Chateau Buena Vista Napa Valley Cabernet Sauvignon,2019,Cabernet Sauvignon,California,50,4.7,26
246,Andrew Murray Tous les Jours Syrah,2018,Syrah/Shiraz,California,25,3.8,111
247,Freemark Abbey Napa Valley Cabernet Sauvignon,2018,Cabernet Sauvignon,California,65,4.2,39
248,La Cana Albarino,2021,Albarino,Spain,20,4.0,79
249,Castello dei Rampolla Sammarco,2017,Bordeaux Red Blends,Italy,100,0.0,0
250,Damilano Barolo Lecinquevigne,2016,Nebbiolo,Italy,44,4.2,13
251,Domaine Roux Pere & Fils Chassagne-Montrachet Les Macherelles Premier Cru,2018,Chardonnay,France,99,5.0,24
252,Graham's Vintage Port,1994,Port,Portugal,145,4.5,18
253,Pahlmeyer Merlot,2019,Merlot,California,104,0.0,0
254,Duckhorn Three Palms Merlot,2019,Merlot,California,109,0.0,0
255,Joel Gott Sauvignon Blanc,2021,Sauvignon Blanc,California,16,3.8,53
256,Sonnet Black Ridge Pinot Noir,2017,Pinot Noir,California,45,0.0,0
257,Joel Gott Blend No. 815 Cabernet Sauvignon,2019,Cabernet Sauvignon,California,18,4.1,82
258,The Prisoner Wine Company Unshackled Cabernet Sauvignon,2019,Cabernet Sauvignon,California,25,4.3,238
259,Elk Cove Pinot Gris,2021,Pinot Gris/Grigio,Oregon,22,4.2,25
260,Chateau Lafite Rothschild,2015,Bordeaux Red Blends,France,"1,039",4.0,14
261,Vineyard 29 Aida Estate Cabernet Sauvignon,2017,Cabernet Sauvignon,California,309,0.0,0
262,Wayfarer Golden Mean Pinot Noir,2019,Pinot Noir,California,129,0.0,0
263,Ridge Paso Robles Zinfandel,2020,Zinfandel,California,35,4.2,24
264,Moet & Chandon Imperial Brut (1.5 Liter,Magnum),Non-Vintage Sparkling Wine,France,145,3.9,10
265,Provenance Vineyards Napa Valley Cabernet Sauvignon,2017,Cabernet Sauvignon,California,60,4.0,28
266,Chateau Cheval Blanc (1.5 Liter Magnum),2019,Bordeaux Red Blends,France,"1,499",0.0,0
267,Arrowood Reserve Speciale Cabernet Sauvignon,2014,Cabernet Sauvignon,California,100,4.6,7
268,Col d'Orcia Brunello di Montalcino,2016,Sangiovese,Italy,55,4.4,15
269,Stag's Leap Wine Cellars S.L.V. Cabernet Sauvignon,2018,Cabernet Sauvignon,California,199,0.0,0
270,Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon,2018,Cabernet Sauvignon,California,97,3.7,9
271,Louis Latour Romanee-St-Vivant Les Quatre Journaux Grand Cru,2019,Pinot Noir,France,849,5.0,12
272,Laurent-Perrier La Cuvee Brut (1.5 Liter,Magnum),Non-Vintage Sparkling Wine,France,150,4.3,15
273,Ziobaffa Organic Toscana,2017,Sangiovese,Italy,12,4.2,103
274,Chateau Du Caillau Cahors,2020,Malbec,France,32,4.4,16
275,Clos Apalta,2016,Bordeaux Red Blends,Chile,119,4.2,42
276,Chateau La Fleur-Petrus,2017,Bordeaux Red Blends,France,259,0.0,0
277,Ruinart Brut Blanc de Blancs (Second Skin Gift Wrapped,Bottle),Non-Vintage Sparkling Wine,France,119,5.0,10
278,DAOU Vineyards Cabernet Sauvignon,2021,Cabernet Sauvignon,California,30,4.0,39
279,Chateau Pontet-Canet,2015,Bordeaux Red Blends,France,134,4.4,43
280,Tenuta Sette Ponti Oreno,2020,Bordeaux Red Blends,Italy,130,0.0,0
281,Penfolds Bin 389 Cabernet-Shiraz,2018,Other Red Blends,Australia,80,4.2,156
282,Ulysses Cabernet Sauvignon,2018,Cabernet Sauvignon,California,180,4.0,9
283,Jordan Cabernet Sauvignon,2018,Cabernet Sauvignon,California,72,0.0,0
284,Alphonse Mellot Edmond Sancerre Blanc,2018,Sauvignon Blanc,France,99,0.0,0
285,CADE Howell Mountain Estate Cabernet Sauvignon,2018,Cabernet Sauvignon,California,119,4.4,30
286,Ancient Peaks Paso Robles Cabernet Sauvignon,2020,Cabernet Sauvignon,California,25,4.4,14
287,Experience Napa Cabernet Sauvignon,2019,Cabernet Sauvignon,California,40,4.0,51
288,Eyrie Estate Pinot Noir,2018,Pinot Noir,Oregon,44,4.7,9
289,Dana Estates Lotus Vineyard Cabernet Sauvignon,2019,Cabernet Sauvignon,California,759,0.0,0
290,Ridge Estate Cabernet Sauvignon,2019,Cabernet Sauvignon,California,69,3.9,5
291,Hall Ellie's Cabernet Sauvignon,2017,Cabernet Sauvignon,California,85,4.3,29
292,Bodegas Muga Seleccion Especial,2016,Tempranillo,Spain,50,4.3,138
293,Yalumba Samuel's Collection Bush Vine Grenache,2020,Grenache,Australia,28,4.0,20
294,J. Lohr Estates Riverstone Chardonnay,2020,Chardonnay,California,14,3.9,76
295,Graham's 20 Year Old Tawny,Port,Port,Portugal,69,4.5,405
296,Calera Ryan Vineyard Pinot Noir,2017,Pinot Noir,California,75,4.0,6
297,Domaine les Pallieres Gigondas Les Racines,2019,Rhone Red Blends,France,45,4.0,15
298,Chateau Angelus,2019,Bordeaux Red Blends,France,349,0.0,0
299,Chateau Palmer,2010,Bordeaux Red Blends,France,419,0.0,0
300,Soter Vineyards Mineral Springs Ranch Pinot Noir,2019,Pinot Noir,Oregon,78,0.0,0
301,Graham Beck Brut,Rose,Sparkling Rosé,Africa,19,4.2,179
302,Chateau Lynch-Bages,2017,Bordeaux Red Blends,France,129,4.2,18
303,Catena Zapata Nicasia Vineyard Malbec,2018,Malbec,Argentina,120,4.5,6
304,Cordella Brunello di Montalcino,2016,Sangiovese,Italy,34,4.1,25
305,Chateau Mouton Rothschild,1999,Bordeaux Red Blends,France,629,0.0,0
